air_date,card
"Apr 21st, 2022","  CHUCK LORRE PRODUCTIONS #702
CALL ME SAMUS
The bad news is, I’ve been really busy and didn’t get around to writ- ing a new vanity card for this week. The good news is, I’m closing in on the final boss battle in Metroid Dread. Now before you roll your eyes, let me add that when I began playing - six months ago - I set the difficulty level at normal, which we can all agree makes my com- mitment to free the planet ZDR from X Parasites time well spent."
"Apr 14th, 2022","CHUCK LORRE PRODUCTIONS #701
The 100th episode of Young Sheldon ended with my 700th vanity card. I chose not to make a point of it, since the episode, and the series, was quite rightly celebrating its own milestone. This card, Chuck Lorre Productions #701, seemed like my last chance to take a bow. And yes, I’m quite aware that no one’s applauding."
"Mar 31st, 2022","CHUCK LORRE PRODUCTIONS #700
Congratulations
Young Sheldon for reaching equation episodes"
"Mar 31st, 2022"," MUDSLIDE SLIVOVITZ PRODUCTIONS #699
Forty years ago I changed my name in an effort to reinvent myself, un- load the baggage of my past, and start anew. I’m thinking of doing it again."
"Mar 28th, 2022","CHUCK LORRE PRODUCTIONS #698
I’ve written about this before, but I think it deserves more atten- tion. For sentient life to continue being sentient life, it needs to kill and eat other, presumably less sentient life. Now I enjoy a good hamburger as much as the next omnivore, but this has always struck me as a macabre and repugnant system. Life lives on death? Oh, please. How hard would it have been to design Homo Saps that rock the casbah with a little photosynthesis? Apply that to all predators, keep the herbivores trimming the bushes and mowing the lawn, maybe loosen up the genetic expiration date on a few species (dogs obviously need to live for seventy, eighty years) and bippity-boppity-boo, we’ve got an ecosystem in which no one, or no thing, experiences needless suffer- ing. Yeah, I know what you’re thinking. Photosynthesis requires sun- light, and sunlight can cause melanoma. Way ahead of you. That’s where Big Pharma comes in. Okay, but what about evolution and sur- vival of the fittest? To that I say, look around. How much fitness do you see? So there you go, a design for a better universe, free of charge, in one vanity card. And I didn’t even graduate from SUNY Potsdam. (Go Bears!)"
"Mar 21st, 2022","CHUCK LORRE PRODUCTIONS #697
                            Yvette Mimieux
In Memoriam
The year was 1960. I was eight years old. I went to see a movie called The Time Machine and fell hopelessly in love. From the minute Yvette appeared on screen, I was smitten. She played an Eloi, a mem- ber of a beautiful, frustratingly passive race of people in the far, far future. The Eloi were the sole food source for the horrible, troll-like Morlocks. Needless to say, this was a very stressful mati- nee for me. I didn’t want the woman of my dreams to be eaten. Thankfully, she was rescued and I didn’t have to cope with cinematic tragedy until I saw Steve McQueen die in The Sand Pebbles (I’m still upset over that). So I would like to pay tribute to my first crush, Yvette Mimieux. My second crush came a few years later. Raquel Welch, trying not to be eaten while running around in a fur bikini."
"Mar 10th, 2022","CHUCK LORRE PRODUCTIONS #696
I’ve lived in Southern California for a very long time. I’ve weath- ered earthquakes, fires, floods, mudslides, smog alerts, Y2K, omicron, Comic-Con, and the occasional riot. But recently something new was added to the list of things to be afraid of. Tsunamis. Specifically one caused by Hunga Tonga-Hunga Ha’apai (which, forgive me, sounds like Jerry Lewis ordering dinner at Benihana immediately after having his wisdom teeth removed). While I was fairly clear on earthquake safety protocols, I found myself ill-prepared for a tsunami. Should I anticipate a run on snorkels and water wings at my local pool supply store? Should I seek higher ground? And how high are we talking? The wave in Back to the Beach or the one in The Day After Tomorrow? Big difference. And finally, is this likely to be a local calamity? A horrific inundation of the left coast that the citizens of Kentucky find wildly amusing. Or is it the beginning of a global, Old Testa- ment rinse cycle? In which case, I need to quickly find myself a wise old man of the Abrahamic persuasion who knows his way around an ark. Hmm... David Geffen?"
"Feb 28th, 2022","CHUCK LORRE PRODUCTIONS #695
A friend recently commented that in the last few years my vanity cards have swung from sharply partisan and opinionated, to... well, banal. He conceded that while, at times, they could be mildly amusing, in the end they were no more than wordy riffs on... well, nothing. I assured him he was absolutely correct. I explained that in this rabid politi- cal and cultural climate, I had made a conscious decision to lay low. I had no desire to write something that might offend someone, when that offense initiates a response which questions my right to breathe. And yes, the word for my decision is cowardice. A shrinking away from confrontation in the hopes that I might continue to enjoy existing. Does this call into question my character? Perhaps. Probably. I don’t care. I had a warm blueberry muffin this morning. It was deli- cious. A few weeks ago I was thrilled by the Super Bowl. Win or lose, watching LeBron James play basketball is a sublime gift. I have been happily binge-watching everything written by Taylor Sheridan. My dog’s daily expression of unconditional love fills my heart. My chil- dren’s Father’s Day expression of unconditional love is amusing. And then there’s music. And theater. And art. Good health. Good friends. Good books. The love of a good woman (not to offend bad women). And golf. And laughter. (Tolerating the snickering of my buddies when I’m incapable of getting out of a sand trap, allows me the freedom to do the same when they shank a chip shot into the park- ing lot.) And don’t get me started on the simple joys of good food, a good night’s sleep, a good bowel movement (deftly avoiding a word that might offend), and any kind of sex. If being unwilling to trade all these quality of life moments for making myself a target of hatred is cowardly, then so be it. That said, I am not without moments of brav- ery. Despite his astute observation, I have been ghosting the “friend” who made the snarky comments about my vanity cards."
"Jan 27th, 2022","CHUCK LORRE PRODUCTIONS #694
                          THE DEARLY DELETED
I know I’m not alone when it comes to confronting a heartbreakingly surreal smartphone task. Whether or not to delete the contact info of friends and relatives who have died. Is it better to just leave it alone? A sort of digital gravestone that blindsides you with memories while scrolling? Or could a healing ritual be created that removes the deceased person’s data in a loving and respectful way? Smartphone manufacturers could add a new button to their devices that allows us to “set free” or “release” phone numbers and email addresses, rather than hit “delete” (which we can all agree is the worst possible word for this undertaking). Even if he was a mean sonuvabitch, no one wants to delete Uncle Murray. Another approach might be creating a cloud-based heaven where our loved ones’ phone data is stored for a small monthly fee. That way, when your heart is aching, you could call and leave a message. Of course if your caller ID says you’re getting an incoming call from Great Grandma Becky, it might be time to walk toward the light."
"Jan 24th, 2022","CHUCK LORRE PRODUCTIONS #693
                          Screw it.
                      Liz Cheney, 2024."
"Jan 13th, 2022","CHUCK LORRE PRODUCTIONS #692
                          Pandemic Confessions
Sometimes when I walk past another person I hold my breath.
I visualize the six feet “safe” distance by imagining myself lying on the ground minus one inch.
I tried to avoid a person I disliked by pretending to sneeze into my N95 mask. The idiot didn’t take the hint.
I’ve become mildly phobic around small children.
When I blow my nose I compulsively check the Kleenex for anything that looks worrisome.
While masked, I’ve been trying to smile with my eyes. I’ve even taken to practicing in front of a mirror. Rather than happy, I look vaguely constipated.
Every time I get an email stating that my PCR test is negative, I feel oddly proud. Like I’ve accomplished something.
My dog loves to meet and sniff other dogs. Regardless, when I walk him I steer us away from other dogs and their owners as a health pre- caution. I’ve tried to explain this to him, but he just gives me the stink eye."
"Jan 6th, 2022"," CHUCK LORRE PRODUCTIONS, #691
I think we all can agree that insanity is contagious. If a sane person is
surrounded by crazy people, the sane person will eventually go mad. On
the other hand, if a crazy person is surrounded by sane people, the crazy
person will try to nullify their vote."
"Jan 3rd, 2022","CHUCK LORRE PRODUCTIONS #690
I’m at that time of life when thoughts of mortality are ever-present. When it’s not preposterous to think that this next exhalation could be followed by a meet and greet with Yahweh. That my heart, which has beat for so long, never once resting, might simply have had enough (I believe the technical term is ‘kaput’). That there will be no need to interrupt tonight’s sleep with a trip to the bathroom. Urination is for the living. That a stranger’s muffled cough in an elevator means the next floor is toe tags and rigor mortis. That a car ride to get an over-the-counter antacid after inhaling a bowl of spaghetti bolog- nese could end with the jaws of life, followed by the gaping maw of darkness, followed by being poured into an urn. I often comfort my- self from these morbid musings by thinking that when my time comes, when my race is run, when my song is sung, when my bell is rung, when my freshly-washed laundry is hung, I will finally make it onto the Emmy stage. My photograph will briefly appear while a lone woman in a simple black gown plays the cello during the In Memoriam segment. Then I get melancholy again thinking there won’t be a wet eye in the house."
"Dec 9th, 2021","CHUCK LORRE PRODUCTIONS #689
You only live once. A common trope. But is it true? I have been a baby, a toddler, a child, an adolescent, a young man, a middle-aged man, and now, a five-eighths-aged man. Digging a little deeper, I have been a son, a student, a scrappy shortstop, a bar mitzvah boy, a stoner, a patient, a failed musician, a failed songwriter, a failed Dianetic Clear, a dad, a failed husband, a relentless door-to-door salesman, a failed husband again, a drunk, a professional wise guy, a teetotaler, and, miraculously, a success. Which one was me? Which incarnation was my one life? I believe if these different me’s were to meet (idea for a play?), there would likely be no recognition. At best, they’d view each other as strangers. At worst, as idiots. So maybe the real question isn’t whether we live only once. Maybe we should be wondering how many times we die and become something new. Something else."
"Dec 6th, 2021",
"Dec 2nd, 2021","CHUCK LORRE PRODUCTIONS #688
I spend a lot of time with me. It’s not always a good time. Like any couple, we bicker and are often critical of one another. But then there are moments, when I and me are fully in synch. Both of us hap- py, productive members of Team Chuck (or more accurately, Team Chucks). We are totally cool if you refer to us as “you,” “he,” “him,” or “dudemeister,” but we prefer the pronouns “we,” “us,” “our,” or “y’all.” When we stop to think about it - and boy oh boy, do we think about it - it makes perfect sense. If we did not identify as cis-plural, we’d be talking to ourselves like meth addicts detoxing with hard seltzer. This way we’re simply enjoying an internal conver- sation, a dialogue, a debate, a Q & A, an attaboy, a silent screaming match, or a poor employee performance review. Yes, I can be rough on me, but that’s the only way we’ll get better."
"Nov 18th, 2021","CHUCK LORRE PRODUCTIONS #687
Are we capable of change? Can we decide to be other than who we are? Who we’ve been? And if such a change were possible, how would it be- gin? With a daily affirmation into a bathroom mirror that hides the benzodiazepines? A firm, no-nonsense, bootstrap decision following a morning of self-loathing and an unwanted house guest? A violent head injury that leaves us with a vacant stare and a childlike smile? A daily regimen of prayer to a benevolent omniscience that takes re- quests? A devastating emotional loss that leads to a short dog (check your urban dictionary) in a paper bag? Or perhaps the answer lies elsewhere. Maybe peace of mind lies in foregoing a need for change and accepting ourselves as we are. The “I’m okay, you’re okay” school of thought. It would then follow that everything wrong with us is added on, not inherent. Personal growth, real change, is a result of subtraction, not addition. We are not, fundamentally, muddle-headed a-holes. Or, as a friend of mine often liked to say, “God made us perfect and she never changed her mind.”"
"Nov 11th, 2021","CHUCK LORRE PRODUCTIONS #686
The first time I said the f word I was five or six. I had no idea what it meant, but some older kids encouraged me to say it to my fa- ther. I walked up to him while he was talking to some other adults and just blurted it out. No context. Just the f word with a happy exclamation mark. He slapped the crap out of me (it was a different time). Since then I’ve said it a lot. So much so, I’ve decided to give it a rest. Yes, it’s a time-tested way to express anger, out- rage, surprise, despair, exhilaration, pain, confusion and full-body orgasms. Yes, it makes jokes 17% funnier. Yes, with minor alter- ations it’s deployable as a noun, verb, pronoun, interjection, con- junction, adverb, and adjective. Yes, you feel like David Mamet when you use it three times in one sentence. And yes, it can cause deliri- um tremens when used as a drinking game during an episode of Succes- sion. But no, I won’t be saying the f word anymore. I like to think that my father would be proud. Sixty-four years ago, he tried to teach me a lesson. I was just a slow learner."
"Nov 8th, 2021","CHUCK LORRE PRODUCTIONS #685
I mentally rehearse for catastrophes. At any given moment, and usual- ly without prompting, I imagine miscellaneous armageddons, as well as how I might respond. The fact that none of these calamities has ever happened (other than the occasional bedwetting Richter event), doesn’t change my obsessive, some might say, paranoid, thinking. Dirty nukes, earthquakes, volcanoes, tsunamis, asteroids, snipers, zombie brouhahas - I am ready! That said, I was totally unprepared for the ghost of Mussolini to crawl out of a septic tank and destroy democracy."
"Nov 4th, 2021","CHUCK LORRE PRODUCTIONS #684
Scrabble fans might be troubled to see three Y tiles in tonight’s episode. Fear not. The “Super Scrabble” version of the game actually comes with four Y tiles. Disaster averted."
"Oct 28th, 2021","CHUCK LORRE PRODUCTIONS #683
I’ve long wished to write a sentence that, in its simplicity, reveals some basic, illuminating truth about the human experience. To be honest, I’d settle for two sentences. Actually the length isn’t as important as my perverse need for it to become one of those inspirational posters that use a flowing cursive font to imply wisdom. I also wouldn’t say no to refrigerator magnets."
"Oct 21st, 2021","CHUCK LORRE PRODUCTIONS #682
I’ve been writing these vanity cards for twenty-four years.
Yeah, I’m amazed too.
And yet, after all this time, people still ask me how to read them.
I usually say, “press the pause button on your remote.”
When this is met with a blank stare (boomers, God bless ‘em), I offer up the address of my website, which has all the cards going back to September 24, 1997.
chucklorre.com
There you will find, six hundred and eighty-two cards, curated by a guy whose name is, believe it or not, Emery Emery.
There is nothing to buy.  No one to chat with.
No opportunity to like, or not like.
Like me, it’s not interactive."
"Oct 14th, 2021","CHUCK LORRE PRODUCTIONS. #669
PETER IN THE HUG
(With apologies to Casey at the Bat)
The smile was gone from Peter's lip.
a tear rolled down his cheek
the COVID kept him distant,
week after lonely week.
So many years, he cheered us on
our happy hugging hero.
Looking back, it now seems clear,
Peter was patient zero.
But long before the virus raged,
before the age of SVOD,
a deal was struck. to reel in Chuck.
and pray he pleased the Les god
A year went by,
then two, then three,
Peter's bet seemed a dead end.
Until one day, CBS in May,
picked up Two and a Half Men.
With syndication vindication,
an executive's nirvana.
Peter was eating dinner NoW,
by the front window at Toscana
A chardonnay, Mr. Roth?
Or how 'bout a nice chianti?
Something to go with the golden eggs,
laid by Greg Berlanti.
Retirement's not an option,
for men such as he
Peter's thinking show biz,
while he's sitting down to pee.
He survived the crash of AOL,
the CEO's from Christmas past.
He made himself a new deal
When Sarah Conner fell on her ass.
But can he give us the next Netflix?
And we'd happily settle for half.
That's the question from the gentiles at,
American Telephone & Telegraph
Oh. somewhere cop shows reign supreme,
and sitcoms are so witty,
but there is no jov in Burbank.
losing Peter feels pretty &#!++%.
Peter Roth's Hollywood Walk of Fame Star
Thursday, October 14, 2021"
"Oct 11th, 2021","CHUCK LORRE PRODUCTIONS #681
So this is what it’s come to..."
"Sep 20th, 2021","CHUCK LORRE PRODUCTIONS #680
At the risk of fueling the ongoing debate over the efficacy and safety of the COVID vaccine, I’d like to point out some of the more troubling side effects I’ve experienced since receiving my double inoculation last spring.
1. Acid reflux, particularly if I go to bed right after a spicy din- ner.
2. I’ve become incapable of hiding my disdain for people who are dicks. Needless to say, self-loathing is an ongoing issue.
3. Every time I bend over to tie my shoes, there is an audible grunt- ing noise which seems to originate from just behind my uvula.
4. I’m shrinking.
5. I’m thickening.
6. I’ve started to floss in mixed company, unbothered by how rude that is.
7. The psychic struggle over the urge to urinate versus the need to sleep might be indicative of a brain tumor.
8. When strangers tell me their name I suffer some kind of mental blackout and have to carry on the conversation calling them “dude.”
9. I keep humming “What’s it all about, Alfie?” Even though I know the words!
10. I’ve developed a strange obsession regarding the making of lists. I feel driven to invent nonsensical things to make sure they’re ten items long.
For the record, I sent a strongly-worded letter detailing my concerns to Moderna. They have yet to respond."
"Jun 24th, 2021","CHUCK LORRE PRODUCTIONS #679
For almost seventy years Warner Bros. was an iconic firm focused en- tirely on movies and television. Then, in 1989, it decided magazines were the next big thing and became Time Warner. In 1999, when I ar- rived, it thought the future was email and turned into Warner AOL. That didn’t go at all well, and it sheepishly reverted to being good ol’ Warner Bros. A few years later, some dude in a nice suit looked in a crystal ball and saw the future again. Phones. People waiting on line at the supermarket will watch movies and TV on their phones. So, with Uncle Sam’s reluctant approval, the sign on the street was changed to AT&T Warner Media. And now, because clearly the real money is in watching guys catch fish in bad weather, it’s about to be changed again. This time to Warner Bros. Discovery. But is that where it stops? Far be it from me to start any rumors that might rip- ple through Wall Street, but I was in the company cafeteria recently and overheard two well-dressed men whispering about yet another new moniker: Warner-Chipotle."
"Jun 17th, 2021","CHUCK LORRE PRODUCTIONS #678
During the height of the pandemic, there were young women whose entire job was to walk around with six-foot-long sticks meant to remind us to stay a safe distance from each other. Several times a day, I’d be talking to the director, or an actor, or the cinematographer, when suddenly there was this stick being waved in my face. I had a running joke about it. I’d say I didn’t need the reminder, I could visualize six feet by imagining myself lying down and subtracting one inch. The stick women never laughed. Not once. Sometimes I wonder about them. What are they doing now? Are they chaperoning Catholic high school dances in 1959? And what about those sticks? I like to think they’re in a field somewhere, tied to tender saplings in order to brace them against stiff winds. And then, many years from now, those saplings will have grown into mighty trees that get chopped down to make six- foot-long sticks. And all thanks to COVID."
"Jun 10th, 2021","CHUCK LORRE PRODUCTIONS #677
We seek power. It’s just what we do. Perhaps because we are the only animal that recognizes how utterly powerless it is. The only animal that has to live with the knowledge that, sooner or later, no matter how smart, talented, physically fit, beautiful, or wise, we will be snuffed out. So yes, we seek power. We seek it over time, the envi- ronment, the culture, and, most tragically, each other. It’s a form of madness, really. A psychotic fear of the inevitable transmuted into an endless game of King of the Mountain. Put another way, we are at war with reality, until we are at peace with mortality. Which begs the question, how does one arrive at that peace? How does one sniff the snuff with equanimity? If there is an answer, it lies with those evolved souls who have transcended ego and accepted transience. I am not one of them. I’m still walking around in skinny jeans."
"Jun 3rd, 2021","CHUCK LORRE PRODUCTIONS #676
        Question: When will it be safe to tell people
      I’ve been a Verizon customer these last few years?"
"May 28th, 2021","CHUCK LORRE PRODUCTIONS
I don’t mind telling you, it’s been a horrible way to live. It has given complete strangers extraordinary power over my well-being. Well, no more. As long as I know I did my best, I’ll be fine. My value is no longer attached to what I do. I am a human being, not a human doing."
"May 28th, 2021","CHUCK LORRE PRODUCTIONS
In my sadly neurotic worldview, losing your attention means that I have failed. That I am not good."
"May 28th, 2021","CHUCK LORRE PRODUCTIONS
The thinking is, your attention is extremely valuable. Losing it is a sign the show has, in some way, failed. And fear of that failure is not just a corporate concern. It has been a driving force in my life."
"May 28th, 2021","CHUCK LORRE PRODUCTIONS
Very few people even bother to look at the end credits, particular- ly in the streaming universe, where viewers are encouraged to quickly jump to the next episode."
"May 28th, 2021","     CHUCK LORRE PRODUCTIONS
If you’ve gone to the trouble of reading this vanity card, you are a remarkable person, or related to me. Or both."
"May 28th, 2021","CHUCK LORRE PRODUCTIONS
That said, I am very grateful that you watched, and hopefully en- joyed, the final season of The Kominsky Method. If the opportunity ever arises, I would like to thank you by coming to your home and making you a plate of scrambled eggs. If, however, you didn’t care for what you’ve just seen, that’s okay, too. My peace of mind is not dependent upon your approval. Of course, you’ll have to make your own fucking eggs."
"May 27th, 2021","  CHUCK LORRE PRODUCTIONS #675
Is anyone reading these cards? Hello? Anyone? I could really use some feedback here. A little encouragement wouldn’t hurt. Hell, I’ll settle for stinging criticism... Hello?... Anyone?...
Chuck, Chuck, Chuck. Twenty-six years ago you decided to avoid all forms of social media in exchange for this one-sided conversation. You chose to live in an echo chamber.
Who said that?
Me.
I’m not alone?
Define alone?
No, you’re not real. This must be some sort of multiple personality disorder.
Listen to this guy. He barely has one personality, now he thinks he has several.
Be quiet!
Hello?... Anyone?... Stop pretending to be me! I’ll stop if you’ll stop."
"May 20th, 2021","CHUCK LORRE PRODUCTIONS #674
About five years ago a nice man from the phone company came to my of- fice and pitched his vision for the future of television - five to ten minute shows that people could watch, surprise surprise, on their phones. Without thinking, I blurted out, “Yeah, I’m not gonna do that.” (A few years later another nice man pitched the same idea over a fancy-schmancy Italian dinner. This time I didn’t say no quite so quickly. My mouth was full of thirty dollar pizza.) Now it appears yet another nice man might be coming to my office to present his take on what’s “comin’ ‘round the bend.” I’m gonna go out on a limb and guess it’s twenty minute sitcoms that sneak in subliminal tips on how to remodel a kitchen, or check for mold. But this time, because I’ve matured, I intend to be more thoughtful with my response. Maybe some- thing like, “Mold might be better addressed in a cop show.”"
"May 17th, 2021","CHUCK LORRE PRODUCTIONS #672
Me: “It’s time to address the elephant in the room.”
Elephant: “Hi, nice to be here.”
Me: “Retirement.”
Elephant: “Wait. So I’m not in this vanity card?”
Me: “Sorry. I meant elephant in the metaphorical sense.”
Elephant: “Why, because I’m large and hard to overlook, particularly in enclosed spaces?”
Me: “Well... yeah.”
Elephant: “Do you get how offensive that is?”
Me: “Not really, no.”
Elephant: “All the more reason for you to contemplate retirement.”"
"May 13th, 2021","CHUCK LORRE PRODUCTIONS #673
Eight years ago we set out to make a comedy whose central theme was hope. Hope that recovery from alcoholism and addiction is possible. Hope that the journey can be filled with love, friendship and laugh- ter. Hope that people can change, mistakes can be forgiven, and shat- tered relationships can be healed. And finally, hope that life, through all its ups and downs, never has to be faced alone. So that was our goal. Our not-so-secret agenda. For one hundred and seventy episodes we wrapped jokes around hope. On behalf of everyone involved in the making of Mom, thank you for watching. Thank you for your sup- port. And, most importantly, thank you to all the men and women who have, for generations, carried the message: There is a solution."
"May 10th, 2021","CHUCK LORRE PRODUCTIONS #671
I think it’s time to assign blame for our collective insanity. I don’t believe evolution is capable of creating a mad species. I choose to hang it on our culture. From my dilettante studies (Daniel Quinn), I’ve concluded that humanity was more or less rational when engaged in hunting and gathering. It’s murderous impulses - attacking neighboring tribes - were largely confined to protecting the local food supply and taking female hostages (to enlarge the gene pool and avoid the complications caused by first cousins bumping uglies). Hunter gatherers did not wipe out the environment or other species. It never occurred to them to forge an empire, or spread completely fictitious ideologies. So what changed? It began with farming. That was the Fall from Grace. The Eviction from Eden. To avoid the va- garies of weather, foraging and the hunt, Homo Sap shifted to the back-breaking work of clearing, sowing, and reaping. Suddenly we had surplus food. Full bellies procreate. Populations dramatically in- creased causing villages, towns, cities and nations to appear. With the breakdown of the tribal system, laws had to be invented to main- tain order amongst the suddenly diverse citizens. Which brings us to the creation of God. Or rather, the institutional version. Let’s call it God 2.0 - the “thou shalt not” iteration. Add mind-boggling technological advances that our frontal lobes have no capacity to en- gage with, and the result is a planet that is dominated by a seemingly wackadoodle mammal. So now you know. You’re not crazy. And neither is your neighbor. The problem lies in a culture that originated about ten thousand years ago. What can we do about it? I have no idea. Have a nice day."
"May 3rd, 2021","CHUCK LORRE PRODUCTIONS #670
INT. CHURCH BASEMENT - NIGHT
A shabby meeting room filled with jittery liberals and progressives, drinking pricey coffee. A surprisingly fit older man, CHUCK, is at the podium.
CHUCK
Hi, I’m Chuck and I’m an outrage-aholic.
Hi, Chuck.
THE GROUP
                                 CHUCK
                      (holding up a plastic chip)
Just got my ninety-day chip. The group applauds.
CHUCK
Thank you. Wasn’t easy. I just came off a
run that lasted four years. Four years of mainlining Bill Maher and John Oliver. Four years of smoking a bowl of Maureen Dowd and Rachel Maddow. Four years of spewing and blathering my outrage at innocent bystanders. At people who were on my side. People who agreed with me!
The group laughs. They’ve been there.
CHUCK
Obviously I couldn’t talk to anyone who
didn’t agree with me. I mean, what’s the point? What comes after outrage? Outer-rage? But I’ve hit bottom. I’ve had to concede to my innermost self that I’m an addict. When I’m not outraged, I think about outrage, I seek out outrage. Sometimes, late at night, I’ll sneak downstairs to watch a rerun of Don Lemon. But, you know, one day at a time, and with the help of all of you, I’m recovering. I hope and pray that someday soon the obsession will be lifted and, by the grace of God, I’ll be able to watch cable news without screaming “ARE YOU $#€&!%@ KIDDING ME?!” Thank you.
The group applauds. Chuck walks back to his seat trying not to check the phone that just buzzed in his pants with a news alert."
