suburb,postcode,state
Gowan,2795,NSW
Freemantle,2795,NSW
Killongbutta,2795,NSW
Bruinbun,2795,NSW
Peel,2795,NSW
Crudine,2795,NSW
Glanmire,2795,NSW
Paling Yards,2795,NSW
Napoleon Reef,2795,NSW
Tarana,2787,NSW
Wattle Flat,2795,NSW
Sofala,2795,NSW
Walang,2795,NSW
Tambaroora,2850,NSW
Duramana,2795,NSW
Mount Rankin,2795,NSW
Turondale,2795,NSW
Billywillinga,2795,NSW
Rock Forest,2795,NSW
Watton,2795,NSW
Yarras,2795,NSW
The Rocks,2795,NSW
Bathampton,2795,NSW
Dunkeld,2795,NSW
Vittoria,2799,NSW
Fitzgeralds Valley,2795,NSW
Fitzgeralds Mount,2799,NSW
O'Connell,2795,NSW
Rockley Mount,2795,NSW
Brewongle,2795,NSW
The Lagoon,2795,NSW
Bald Ridge,2795,NSW
Bella Vista,2153,NSW
Baulkham Hills,2153,NSW
Castle Hill,2154,NSW
Kellyville,2155,NSW
West Pennant Hills,2125,NSW
Winston Hills,2153,NSW
Glenhaven,2156,NSW
Rouse Hill,2155,NSW
Beaumont Hills,2155,NSW
Kenthurst,2156,NSW
Cattai,2756,NSW
Dural,2158,NSW
Wisemans Ferry,2775,NSW
Lower Portland,2756,NSW
Maroota,2756,NSW
Sackville North,2756,NSW
South Maroota,2756,NSW
Glenorie,2157,NSW
Maraylya,2765,NSW
Middle Dural,2158,NSW
Box Hill,2765,NSW
Nelson,2765,NSW
Annangrove,2156,NSW
North Rocks,2151,NSW
Oatlands,2117,NSW
Carlingford,2118,NSW
Northmead,2152,NSW
North Parramatta,2151,NSW
Wonboyn North,2551,NSW
Mumbulla Mountain,2550,NSW
Angledale,2550,NSW
Frogs Hollow,2550,NSW
Kanoona,2550,NSW
Devils Hole,2550,NSW
Morans Crossing,2550,NSW
Yellow Pinch,2548,NSW
Bermagui,2546,NSW
Barragga Bay,2546,NSW
Cuttagee,2546,NSW
Green Cape,2551,NSW
Tinpot,2546,NSW
Tarraganda,2550,NSW
Tanja,2550,NSW
Edrom,2551,NSW
Wolumla,2550,NSW
Quaama,2550,NSW
Pambula,2549,NSW
Eden,2551,NSW
Bega,2550,NSW
Merimbula,2548,NSW
Pambula Beach,2549,NSW
Candelo,2550,NSW
Wyndham,2550,NSW
Kingswood,2550,NSW
South Pambula,2549,NSW
Mirador,2548,NSW
Berrambool,2548,NSW
Tathra,2550,NSW
Wallaga Lake,2546,NSW
Wapengo,2550,NSW
Wallagoot,2550,NSW
Boydtown,2551,NSW
Kalaru,2550,NSW
Nungatta,2551,NSW
Nungatta South,2551,NSW
Chinnock,2550,NSW
Nelson,2550,NSW
Bemboka,2550,NSW
Millingandi,2549,NSW
Nullica,2551,NSW
Steeple Flat,2631,NSW
Mount Darragh,2632,NSW
New Buildings,2550,NSW
Kiah,2551,NSW
Greendale,2550,NSW
Numbugga,2550,NSW
Brogo,2550,NSW
Tantawangalo,2550,NSW
Burragate,2550,NSW
South Wolumla,2550,NSW
Towamba,2550,NSW
Mogilla,2550,NSW
Yowrie,2550,NSW
Lochiel,2549,NSW
Verona,2550,NSW
Nethercote,2549,NSW
Buckajo,2550,NSW
Coolagolite,2550,NSW
Tura Beach,2548,NSW
Cobargo,2550,NSW
Dignams Creek,2546,NSW
Wandella,2550,NSW
Stony Creek,2550,NSW
Toothdale,2550,NSW
Pericoe,2550,NSW
Myrtle Mountain,2550,NSW
Rocky Hall,2550,NSW
Broadwater,2549,NSW
Murrah,2546,NSW
Bournda,2548,NSW
Wonboyn,2551,NSW
Greigs Flat,2549,NSW
Black Range,2550,NSW
Narrabarba,2551,NSW
Kameruka,2550,NSW
Bald Hills,2549,NSW
Yankees Creek,2550,NSW
Coolangubra,2550,NSW
Jellat Jellat,2550,NSW
Wadbilliga,2546,NSW
Nadgee,2551,NSW
Timbillica,2551,NSW
Wog Wog,2550,NSW
Cathcart,2632,NSW
Reedy Swamp,2550,NSW
Bellingen,2454,NSW
Urunga,2455,NSW
Mylestom,2454,NSW
Megan,2453,NSW
Deer Vale,2453,NSW
Cascade,2453,NSW
Kalang,2454,NSW
Spicketts Creek,2454,NSW
Valla,2448,NSW
Bostobrick,2453,NSW
Darkwood,2454,NSW
Brierfield,2454,NSW
Tallowwood Ridge,2453,NSW
Thora,2454,NSW
Gleniffer,2454,NSW
Never Never,2453,NSW
Valery,2454,NSW
Fernmount,2454,NSW
Brinerville,2454,NSW
Dorrigo,2453,NSW
Repton,2454,NSW
Kennaicle Creek,2449,NSW
Fernbrook,2453,NSW
Dorrigo Mountain,2453,NSW
Bielsdown Hills,2453,NSW
North Dorrigo,2453,NSW
Raleigh,2454,NSW
Tocumwal,2714,NSW
Finley,2713,NSW
Berrigan,2712,NSW
Barooga,3644,NSW
Boomanoomana,2712,NSW
Savernake,2646,NSW
Lalalty,3644,NSW
Mulwala,2647,NSW
Dean Park,2761,NSW
Riverstone,2765,NSW
Quakers Hill,2763,NSW
Marayong,2148,NSW
Kings Park,2148,NSW
Kings Langley,2147,NSW
Glenwood,2768,NSW
Colebee,2761,NSW
Marsden Park,2765,NSW
Shanes Park,2747,NSW
Acacia Gardens,2763,NSW
Parklea,2768,NSW
Stanhope Gardens,2768,NSW
Schofields,2762,NSW
Kellyville Ridge,2155,NSW
Fairy Meadow,2519,NSW
Balgownie,2519,NSW
Towradgi,2518,NSW
North Wollongong,2500,NSW
East Corrimal,2518,NSW
Wollongong,2500,NSW
Mount Keira,2500,NSW
West Wollongong,2500,NSW
Mangerton,2500,NSW
Coniston,2500,NSW
Mount Saint Thomas,2500,NSW
Port Kembla,2505,NSW
Doonside,2767,NSW
Woodcroft,2767,NSW
Blacktown,2148,NSW
Prospect,2148,NSW
Seven Hills,2147,NSW
Lalor Park,2147,NSW
Toongabbie,2146,NSW
Huntingwood,2148,NSW
Arndell Park,2148,NSW
Eastern Creek,2766,NSW
Tregear,2770,NSW
Lethbridge Park,2770,NSW
Shalvey,2770,NSW
Whalan,2770,NSW
Mount Druitt,2770,NSW
Blackett,2770,NSW
Dharruk,2770,NSW
Hebersham,2770,NSW
Minchinbury,2770,NSW
Rooty Hill,2766,NSW
Hassall Grove,2761,NSW
Glendenning,2761,NSW
Emerton,2770,NSW
Bidwill,2770,NSW
Willmot,2770,NSW
Oakhurst,2761,NSW
Plumpton,2761,NSW
Bungarribee,2767,NSW
Ropes Crossing,2760,NSW
Naradhan,2669,NSW
Weethalle,2669,NSW
Ungarie,2669,NSW
West Wyalong,2671,NSW
Wyalong,2671,NSW
Girral,2669,NSW
Back Creek,2671,NSW
Barmedman,2668,NSW
Barellan,2665,NSW
Kikoira,2669,NSW
Beckom,2665,NSW
Mirrool,2665,NSW
Ariah Park,2665,NSW
Alleena,2671,NSW
North Yalgogrin,2671,NSW
Tallimba,2669,NSW
Lake Cowal,2671,NSW
Bland,2721,NSW
Quandialla,2721,NSW
Morangarell,2666,NSW
Rankins Springs,2669,NSW
Ardlethan,2665,NSW
Kamarah,2665,NSW
Blayney,2799,NSW
Errowanbang,2791,NSW
Carcoar,2791,NSW
Newbridge,2795,NSW
Forest Reefs,2798,NSW
Browns Creek,2799,NSW
Millthorpe,2798,NSW
Kings Plains,2799,NSW
Tallwood,2798,NSW
Garland,2797,NSW
Neville,2799,NSW
Barry,2799,NSW
Mandurama,2792,NSW
Burnt Yards,2792,NSW
Panuara,2800,NSW
Blackheath,2785,NSW
Katoomba,2780,NSW
Blue Mountains National Park,2780,NSW
Leura,2780,NSW
Wentworth Falls,2782,NSW
Lawson,2783,NSW
Hazelbrook,2779,NSW
Faulconbridge,2776,NSW
Springwood,2777,NSW
Winmalee,2777,NSW
Blaxland,2774,NSW
Glenbrook,2773,NSW
Mount Riverview,2774,NSW
Lapstone,2773,NSW
Yellow Rock,2777,NSW
Medlow Bath,2780,NSW
Bullaburra,2784,NSW
Woodford,2778,NSW
Linden,2778,NSW
Valley Heights,2777,NSW
Warrimoo,2774,NSW
Bell,2786,NSW
Berambing,2758,NSW
Mount Irvine,2786,NSW
Mount Victoria,2786,NSW
Megalong Valley,2785,NSW
Mount Wilson,2786,NSW
Hawkesbury Heights,2777,NSW
Sun Valley,2777,NSW
Mount Tomah,2758,NSW
Hermidale,2831,NSW
Bobadah,2877,NSW
Pangee,2825,NSW
Five Ways,2873,NSW
Miandetta,2825,NSW
Nyngan,2825,NSW
Honeybugle,2825,NSW
Coolabah,2831,NSW
Girilambone,2831,NSW
Canonba,2825,NSW
Babinda,2825,NSW
The Marra,2831,NSW
Byrock,2831,NSW
Murrawombie,2825,NSW
Buddabadah,2825,NSW
Mulla,2825,NSW
Canbelego,2835,NSW
Bungarby,2630,NSW
Lords Hill,2632,NSW
Bombala,2632,NSW
Craigie,2632,NSW
Mila,2632,NSW
Palarang,2632,NSW
Gunningrah,2632,NSW
Mount Cooper,2631,NSW
Tombong,2633,NSW
Bondi Forest,2632,NSW
Bukalong,2632,NSW
Cambalong,2632,NSW
Holts Flat,2631,NSW
Boco,2631,NSW
Jincumbilly,2631,NSW
Glen Allen,2631,NSW
Creewah,2631,NSW
Paddys Flat,2632,NSW
Byadbo Wilderness,2628,NSW
Corrowong,2633,NSW
Delegate,2633,NSW
Bibbenluke,2632,NSW
Ando,2631,NSW
Rockton,2632,NSW
Rosemeath,2632,NSW
Coolumbooka,2632,NSW
Quidong,2632,NSW
Merriangaah,2632,NSW
Boorowa,2586,NSW
Wyangala,2808,NSW
Reids Flat,2586,NSW
Mount Collins,2794,NSW
Rugby,2583,NSW
Rye Park,2586,NSW
Hovells Creek,2794,NSW
Frogmore,2586,NSW
Taylors Flat,2586,NSW
Godfreys Creek,2586,NSW
Mascot,2020,NSW
Botany,2019,NSW
Rosebery,2018,NSW
Eastlakes,2018,NSW
Pagewood,2035,NSW
Daceyville,2032,NSW
Hillsdale,2036,NSW
Banksmeadow,2019,NSW
Eastgardens,2036,NSW
Louth,2840,NSW
Wanaaring,2840,NSW
Gumbalie,2840,NSW
Fords Bridge,2840,NSW
Enngonia,2840,NSW
Bourke,2840,NSW
Hungerford,2840,NSW
Gunderbooka,2840,NSW
Angledool,2834,NSW
Collerina,2839,NSW
Narran Lake,2839,NSW
Talawanta,2839,NSW
Goodooga,2838,NSW
Brewarrina,2839,NSW
Gongolgon,2839,NSW
Broken Hill,2880,NSW
Enfield,2136,NSW
Burwood,2134,NSW
Burwood Heights,2136,NSW
Strathfield,2135,NSW
The Pocket,2483,NSW
Coopers Shoot,2479,NSW
Tyagarah,2481,NSW
New Brighton,2483,NSW
Koonyum Range,2482,NSW
Palmwoods,2482,NSW
Brunswick Heads,2483,NSW
Ocean Shores,2483,NSW
South Golden Beach,2483,NSW
Middle Pocket,2483,NSW
Mullumbimby,2482,NSW
Upper Wilsons Creek,2482,NSW
Wilsons Creek,2482,NSW
Upper Main Arm,2482,NSW
Huonbrook,2482,NSW
Goonengerry,2482,NSW
Byron Bay,2481,NSW
Suffolk Park,2481,NSW
Skinners Shoot,2481,NSW
Main Arm,2482,NSW
Federal,2480,NSW
Coorabell,2479,NSW
Montecollum,2482,NSW
Mullumbimby Creek,2482,NSW
Wanganui,2482,NSW
Upper Coopers Creek,2482,NSW
Myocum,2481,NSW
Billinudgel,2483,NSW
Yelgun,2483,NSW
Ewingsdale,2481,NSW
Bangalow,2479,NSW
Wooyung,2483,NSW
Eureka,2480,NSW
Clunes,2480,NSW
Nashua,2479,NSW
McLeods Shoot,2479,NSW
Binna Burra,2479,NSW
Possum Creek,2479,NSW
Hayters Hill,2481,NSW
Talofa,2481,NSW
Ophir,2800,NSW
Lidster,2800,NSW
Cargo,2800,NSW
Bowan Park,2864,NSW
Cadia,2800,NSW
Waldegrave,2800,NSW
March,2800,NSW
Clifton Grove,2800,NSW
Summer Hill Creek,2800,NSW
Four Mile Creek,2800,NSW
Lewis Ponds,2800,NSW
Lower Lewis Ponds,2800,NSW
Borenore,2800,NSW
Nashdale,2800,NSW
Canobolas,2800,NSW
Belgravia,2800,NSW
Springside,2800,NSW
Orange,2800,NSW
Byng,2800,NSW
Spring Terrace,2798,NSW
Kangaroobie,2800,NSW
Emu Swamp,2800,NSW
Eugowra,2806,NSW
Yullundry,2867,NSW
Yeoval,2868,NSW
Canowindra,2804,NSW
Garra,2866,NSW
Molong,2866,NSW
Gumble,2865,NSW
Boomey,2866,NSW
Obley,2868,NSW
Gooloogong,2805,NSW
Nyrang Creek,2804,NSW
Cudal,2864,NSW
Cumnock,2867,NSW
Manildra,2865,NSW
Boree,2800,NSW
Murga,2864,NSW
Moorbel,2804,NSW
Amaroo,2866,NSW
Toogong,2864,NSW
Baldry,2867,NSW
Larras Lee,2866,NSW
Eurimbla,2867,NSW
Mandagery,2870,NSW
Mullion Creek,2800,NSW
Kerrs Creek,2800,NSW
Clergate,2800,NSW
Camden South,2570,NSW
Camden,2570,NSW
Elderslie,2570,NSW
Harrington Park,2567,NSW
Narellan Vale,2567,NSW
Narellan,2567,NSW
Mount Annan,2567,NSW
Currans Hill,2567,NSW
Leppington,2179,NSW
Gregory Hills,2557,NSW
Rossmore,2557,NSW
Ellis Lane,2570,NSW
Cawdor,2570,NSW
Kirkham,2570,NSW
Catherine Field,2557,NSW
Bringelly,2556,NSW
Cobbitty,2570,NSW
Smeaton Grange,2567,NSW
Grasmere,2570,NSW
Kearns,2558,NSW
Raby,2566,NSW
Eschol Park,2558,NSW
Eagle Vale,2558,NSW
St Andrews,2566,NSW
Ingleburn,2565,NSW
Bow Bowing,2566,NSW
Denham Court,2565,NSW
Minto,2566,NSW
Macquarie Fields,2564,NSW
Glenfield,2167,NSW
Blairmount,2559,NSW
Claymore,2559,NSW
Kentlyn,2560,NSW
Macquarie Links,2565,NSW
Minto Heights,2566,NSW
Varroville,2566,NSW
Long Point,2564,NSW
Campbelltown,2560,NSW
Bradbury,2560,NSW
Wedderburn,2560,NSW
St Helens Park,2560,NSW
Leumeah,2560,NSW
Ambarvale,2560,NSW
Glen Alpine,2560,NSW
Rosemeadow,2560,NSW
Woodbine,2560,NSW
Gilead,2560,NSW
Holsworthy,2173,NSW
Woronora Dam,2508,NSW
Ruse,2560,NSW
Airds,2560,NSW
Blair Athol,2560,NSW
Menangle Park,2563,NSW
Englorie Park,2560,NSW
Concord West,2138,NSW
North Strathfield,2137,NSW
Concord,2137,NSW
Cabarita,2137,NSW
Rhodes,2138,NSW
Breakfast Point,2137,NSW
Liberty Grove,2138,NSW
Mortlake,2137,NSW
Five Dock,2046,NSW
Abbotsford,2046,NSW
Chiswick,2046,NSW
Russell Lea,2046,NSW
Rodd Point,2046,NSW
Drummoyne,2047,NSW
Canada Bay,2046,NSW
Wareemba,2046,NSW
Riverwood,2210,NSW
Roselands,2196,NSW
Belmore,2192,NSW
Belfield,2191,NSW
Kingsgrove,2208,NSW
Campsie,2194,NSW
Clemton Park,2206,NSW
Earlwood,2206,NSW
Canterbury,2193,NSW
Beverly Hills,2209,NSW
Narwee,2209,NSW
Wiley Park,2195,NSW
Lakemba,2195,NSW
Goolgowi,2652,NSW
Melbergen,2669,NSW
Erigolia,2669,NSW
Merriwagga,2652,NSW
Carrathool,2711,NSW
Willbriggie,2680,NSW
Yenda,2681,NSW
Binya,2665,NSW
Hillston,2675,NSW
Roto,2675,NSW
Wallanthery,2675,NSW
Boorga,2652,NSW
Tabbita,2652,NSW
Benerembah,2680,NSW
Warrawidgee,2680,NSW
Monia Gap,2675,NSW
Yorklea,2470,NSW
Naughtons Gap,2470,NSW
Tomki,2470,NSW
Coraki,2471,NSW
Evans Head,2473,NSW
New Italy,2472,NSW
Stratheden,2470,NSW
Fairy Hill,2470,NSW
Backmede,2470,NSW
North Casino,2470,NSW
Bentley,2480,NSW
Spring Grove,2470,NSW
Irvington,2470,NSW
McKees Hill,2480,NSW
Greenridge,2471,NSW
Dobies Bight,2470,NSW
Woodview,2470,NSW
Piora,2470,NSW
Hogarth Range,2469,NSW
Upper Mongogarie,2470,NSW
Wyan,2469,NSW
Coombell,2470,NSW
Mongogarie,2470,NSW
Busbys Flat,2469,NSW
Six Mile Swamp,2469,NSW
Mount Marsh,2469,NSW
Kippenduff,2469,NSW
Myrtle Creek,2469,NSW
Camira,2469,NSW
Clearfield,2469,NSW
Whiporie,2469,NSW
Gibberagee,2469,NSW
Shannon Brook,2470,NSW
Rappville,2469,NSW
Ellangowan,2470,NSW
Leeville,2470,NSW
West Bungawalbin,2471,NSW
Bora Ridge,2471,NSW
Tatham,2471,NSW
Bungawalbin,2469,NSW
Esk,2472,NSW
Codrington,2471,NSW
West Coraki,2471,NSW
East Coraki,2471,NSW
Swan Bay,2471,NSW
Woodburn,2472,NSW
Doonbah,2473,NSW
Rileys Hill,2472,NSW
Broadwater,2472,NSW
Tabbimoble,2472,NSW
The Gap,2472,NSW
Menindee,2879,NSW
Wilcannia,2836,NSW
Tilpa,2840,NSW
Weston,2326,NSW
Loxford,2326,NSW
Kurri Kurri,2327,NSW
Bellbird,2325,NSW
Abermain,2326,NSW
Paxton,2325,NSW
Kitchener,2325,NSW
Abernethy,2325,NSW
Cessnock,2325,NSW
Pelton,2325,NSW
Ellalong,2325,NSW
Mount View,2325,NSW
Greta Main,2325,NSW
Sawyers Gully,2326,NSW
Lovedale,2325,NSW
Neath,2326,NSW
Kearsley,2325,NSW
Nulkaba,2325,NSW
Cliftleigh,2321,NSW
Fernances Crossing,2325,NSW
Keinbah,2320,NSW
Black Hill,2322,NSW
Paynes Crossing,2325,NSW
Wollombi,2325,NSW
Narone Creek,2325,NSW
Murrays Run,2325,NSW
Watagan,2325,NSW
North Rothbury,2335,NSW
Pokolbin,2320,NSW
Greta,2334,NSW
Aberdare,2325,NSW
East Branxton,2335,NSW
Branxton,2335,NSW
Bellbird Heights,2325,NSW
Elrington,2325,NSW
Mulbring,2323,NSW
Stockrington,2322,NSW
Yengo National Park,2330,NSW
Olney,2325,NSW
Buchanan,2323,NSW
Cedar Creek,2325,NSW
Mount Vincent,2323,NSW
Bucketty,2250,NSW
Bishops Bridge,2326,NSW
Richmond Vale,2323,NSW
Pelaw Main,2327,NSW
Millfield,2325,NSW
Heddon Greta,2321,NSW
Stanford Merthyr,2327,NSW
Congewai,2325,NSW
Dairy Arm,2325,NSW
Laguna,2325,NSW
Corrabare,2325,NSW
Brunkerville,2323,NSW
Quorrobolong,2325,NSW
Buttai,2323,NSW
Sweetmans Creek,2325,NSW
Allandale,2320,NSW
The Sandon,2463,NSW
Diggers Camp,2462,NSW
Minnie Water,2462,NSW
Barcoongere,2460,NSW
Sandy Crossing,2460,NSW
Sandon,2463,NSW
Pillar Valley,2462,NSW
Bookram,2460,NSW
Wooli,2462,NSW
Coldstream,2462,NSW
Gilletts Ridge,2462,NSW
Cowper,2460,NSW
Glenugie,2460,NSW
Halfway Creek,2460,NSW
Tucabia,2462,NSW
Ulmarra,2462,NSW
Calliope,2462,NSW
Maclean,2463,NSW
Freeburn Island,2464,NSW
Brooms Head,2463,NSW
Yamba,2464,NSW
Yuraygir,2464,NSW
Wooloweyah,2464,NSW
Iluka,2466,NSW
Micalo Island,2464,NSW
Lawrence,2460,NSW
Tullymorgan,2463,NSW
Jacky Bulbin Flat,2463,NSW
Mororo,2469,NSW
Warregah Island,2469,NSW
Palmers Channel,2463,NSW
Palmers Island,2463,NSW
Woody Head,2466,NSW
Woombah,2469,NSW
Goodwood Island,2469,NSW
Woodford Island,2463,NSW
Ilarwill,2463,NSW
Ashby Island,2463,NSW
The Freshwater,2466,NSW
Brushgrove,2460,NSW
Townsend,2463,NSW
South Arm,2460,NSW
Tyndale,2460,NSW
Chatsworth,2469,NSW
Harwood,2465,NSW
Ashby Heights,2463,NSW
Angourie,2464,NSW
Gulmarrad,2463,NSW
Ashby,2463,NSW
Swan Creek,2462,NSW
Clarenza,2460,NSW
Braunstone,2460,NSW
Coutts Crossing,2460,NSW
Elland,2460,NSW
Ramornie,2460,NSW
Eatonsville,2460,NSW
Waterview,2460,NSW
Seelands,2460,NSW
Waterview Heights,2460,NSW
Rushforth,2460,NSW
Grafton,2460,NSW
South Grafton,2460,NSW
Carrs Island,2460,NSW
Junction Hill,2460,NSW
Great Marlow,2460,NSW
Crowther Island,2460,NSW
Alumy Creek,2460,NSW
Carrs Creek,2460,NSW
Southgate,2460,NSW
Carrs Peninsula,2460,NSW
Trenayr,2460,NSW
Bom Bom,2460,NSW
Lanitza,2460,NSW
Sherwood,2450,NSW
Glenreagh,2450,NSW
Kungala,2460,NSW
Kremnos,2460,NSW
Wells Crossing,2460,NSW
Marengo,2453,NSW
Cangai,2460,NSW
Jackadgery,2460,NSW
Coombadjha,2460,NSW
Billys Creek,2453,NSW
Lilydale,2460,NSW
Chaelundi,2460,NSW
Heifer Station,2460,NSW
Dundurrabin,2453,NSW
Buccarumbi,2460,NSW
Chambigne,2460,NSW
Clouds Creek,2453,NSW
Nymboida,2460,NSW
Wild Cattle Creek,2453,NSW
Moonpar,2453,NSW
Levenstrath,2460,NSW
Hernani,2453,NSW
Towallum,2460,NSW
Tyringham,2453,NSW
Blaxlands Creek,2460,NSW
Newton Boyd,2370,NSW
Kangaroo Creek,2460,NSW
Shannondale,2460,NSW
Upper Fine Flower,2460,NSW
Stockyard Creek,2460,NSW
Lower Southgate,2460,NSW
Coaldale,2460,NSW
Gurranang,2460,NSW
Ewingar,2469,NSW
Bulldog,2469,NSW
Mookima Wybra,2469,NSW
Louisa Creek,2469,NSW
Pikapene,2469,NSW
Lionsville,2460,NSW
Alice,2469,NSW
Keybarbin,2469,NSW
Coongbar,2469,NSW
Deep Creek,2460,NSW
Banyabba,2460,NSW
Clifden,2460,NSW
Upper Copmanhurst,2460,NSW
Whiteman Creek,2460,NSW
The Whiteman,2460,NSW
Mylneford,2460,NSW
Mountain View,2460,NSW
Koolkhan,2460,NSW
Dilkoon,2460,NSW
Fortis Creek,2460,NSW
Warragai Creek,2460,NSW
Washpool,2460,NSW
Copmanhurst,2460,NSW
Eighteen Mile,2460,NSW
Collum Collum,2460,NSW
Dumbudgery,2460,NSW
Fine Flower,2460,NSW
Carnham,2460,NSW
Barretts Creek,2460,NSW
Pulganbar,2460,NSW
Wombat Creek,2460,NSW
Smiths Creek,2460,NSW
Newbold,2460,NSW
Winegrove,2460,NSW
The Pinnacles,2460,NSW
Moleville Creek,2460,NSW
Kyarran,2460,NSW
Noona,2835,NSW
Cobar,2835,NSW
Kerrigundi,2835,NSW
Kulwin,2835,NSW
Nymagee,2831,NSW
Eremerang,2877,NSW
Tindarey,2835,NSW
Irymple,2835,NSW
Cubba,2835,NSW
Bulla,2835,NSW
Mount Hope,2877,NSW
Boambee East,2452,NSW
Toormina,2452,NSW
Sawtell,2452,NSW
Coffs Harbour,2450,NSW
Moonee Beach,2450,NSW
Bucca,2450,NSW
Sapphire Beach,2450,NSW
Korora,2450,NSW
Bundagen,2454,NSW
Bonville,2450,NSW
Upper Orara,2450,NSW
Boambee,2450,NSW
North Boambee Valley,2450,NSW
Karangi,2450,NSW
Emerald Beach,2456,NSW
Woolgoolga,2456,NSW
Corindi Beach,2456,NSW
Sandy Beach,2456,NSW
Arrawarra Headland,2456,NSW
