name,age,location,link,about,height,hair_color,body_art
DollyPat,24,London,https://juicy-adult.com/#/public/HysvplbJlW,i wasn't sure what to say so i asked a few friends and they said i am crazy funny always up for a laugh,"1.63m (5' 4"")",Blonde,Earrings
blondepiercing,24,London,https://juicy-adult.com/#/public/rJFWYxPZJgZ,A friend of mine has been having so much fun lately and she told me that this was the secret so I thought I would join in and have fun too,"1.65m (5' 5"")",Blonde,More than one
CumNShowMeNow,24,London,https://juicy-adult.com/#/public/BJrDKPb1l-,I have just moved to London and need some friends. Why don't you cum and show me around? ;),"1.73m (5' 8"")",Dark brown,Earrings
ThinkUCanHandle,24,London,https://juicy-adult.com/#/public/rJ_W_cQ-1gW,Been in and out of short term relationships. No one can seem to handle me properly and I am always just left wanting more so I am just better off being single. Think you can do the job?,"1.72m (5' 8"")",Black,Earrings
missbree,24,London,https://juicy-adult.com/#/public/BJ4nZN-ygZ,"I'm Brianna, shy and petite, slim, but with a very very wild side! ;)","1.65m (5' 5"")",Dark brown,Earrings
Seiko,24,London,https://juicy-adult.com/#/public/BJ9lbJB-kgZ,Just a normal little woman looking to have some fun,"1.60m (5' 3"")",Black,Earrings
BendMeOver22,24,London,https://juicy-adult.com/#/public/BJzZTGZWJeW,"Looking for casual sex, even better. You take me however you want, shoot n go! Anyone know a Dogging area...let me know.","1.70m (5' 7"")",Dark brown,None
Misschunky,24,London,https://juicy-adult.com/#/public/HyRSfEZklb,"I love nature and everything natural, it would be great to do it in the open","1.63m (5' 4"")",Black,Earrings
NaughtyGirl24,25,London,https://juicy-adult.com/#/public/ryFYuwb1g-,Living at home with my parents and family right now so cannot host but want to find some guys for hot sex fun. I am very submissive and if you tell me I have been naughty I will do what you want to make it right.,"1.65m (5' 5"")",Black,Earrings
greatwhite,25,London,https://juicy-adult.com/#/public/rkEZTTvWJgZ,Just here to have some steamy chats and see where that will take us.,"1.65m (5' 5"")",Dark brown,More than one
Nervous24,25,London,https://juicy-adult.com/#/public/HJ6RWPbye-,"I must admit I am a little nervous about being on here, I have never been on a site like this before. I am from Birmingham originally and studying in London so it's my first taste of freedom. I hope to find some nice guys to have fun with here.","1.66m (5' 5"")",Black,More than one
Shinoh,25,London,https://juicy-adult.com/#/public/ByJezJSbke-,"Looking for a guy with the same interests as me. I like fun, pleasure and romance.  If you are looking for that spark with someone special, then don't be shy ;)","1.62m (5' 4"")",Black,Earrings
blondebeach,25,London,https://juicy-adult.com/#/public/H1uNbPZ1xb,If you like what you are seeing then message me and lets get to it :-),"1.66m (5' 5"")",Blonde,None
Londyn23,25,London,https://juicy-adult.com/#/public/rJDe5sQbygW,"Girl, who just wanna have fun. When you will know me better, you will know how nice I am ;)","1.70m (5' 7"")",Dark brown,More than one
tinytime,25,London,https://juicy-adult.com/#/public/rkVlg7Ib1l-,"Lest live out our fantasies and have fun, life is too short","1.57m (5' 2"")",Black,Earrings
Lonla,25,London,https://juicy-adult.com/#/public/SyvZ697Z1gZ,"A great personality and i enjoy having fun sex, a lot. I am very much into oral pleasuring. I am looking for a hot guy who likes to be eat me... and have regular sex too. I try to see the best in everyone and know that I can bring out the best in a man
,","1.68m (5' 6"")",Black,Earrings
Marla,25,London,https://juicy-adult.com/#/public/Byql_WNbJxZ,Best thing to do is ask ;),"1.70m (5' 7"")",Light brown,Earrings
Priya,25,London,https://juicy-adult.com/#/public/ryTg64bJeb,"If you are into the exotic type of beauty, then say something","1.73m (5' 8"")",Black,Earrings
Corrine4Fun,25,London,https://juicy-adult.com/#/public/rJDewswZkgb,"Young black girl looking for some hot fun with older, experienced and hopefully well hung guys. I live at home at the moment so cannot host but happy to travel in and around London to meet the right guy.","1.66m (5' 5"")",Black,More than one
JerkyJane,25,London,https://juicy-adult.com/#/public/rJ8x717WJx-,Horny woman with a huge sexual appetite looking for someone who can keep up,"1.68m (5' 6"")",Light brown,Earrings
ConfidentLass,25,London,https://juicy-adult.com/#/public/SyFlgFIZkeW,Just up for a laugh really. Confident and Experimental type. Come and give it a go if you think I am good looking,"1.69m (5' 7"")",Light brown,Earrings
Shali23,25,London,https://juicy-adult.com/#/public/ryCJ3NW1xb,Beautiful woman with a nice sense of humour and adventure,"1.55m (5' 1"")",Light brown,More than one
HotTeresa69,25,London,https://juicy-adult.com/#/public/ByVRHX-1gW,looking for a friend to teach me new things,"1.55m (5' 1"")",Light brown,More than one
MandyNips,25,London,https://juicy-adult.com/#/public/Bk2gdyVbkx-,"I like to keep it simple, so I stay single, but I need to expand my catchment area a bit. I seem to have slept with everybody hahaha","1.64m (5' 5"")",Blonde,Earrings
Ulche,25,London,https://juicy-adult.com/#/public/r1YbOZBZ1eZ,Tell me what you want I will obey and I will do everything you like.,"1.73m (5' 8"")",Dark brown,Earrings
bluedtattoo,25,London,https://juicy-adult.com/#/public/rJ9a8db1gZ,"Life is for the living , so why can't we enjoy its pleasures :-) If you feel the same as me why not say hello and we can get to know each other a little.","1.66m (5' 5"")",Other,More than one
fantasysearchXX,25,London,https://juicy-adult.com/#/public/rkXxaYrbJxZ,I would like to stay anonymous ;),"1.67m (5' 6"")",Dark brown,None
PurePlay,25,London,https://juicy-adult.com/#/public/B1Q-K5wbJlW,"Originally from Manchester but now studying in London. On here looking for friends and some fun! I tend to go for older guys than me, I need experience haha.","1.70m (5' 7"")",Light brown,None
Kennil,25,London,https://juicy-adult.com/#/public/S1Pnmmb1lZ,"Full of fun, no strings attached man or one who understands NO STRINGS, or a couple. Very confident! Must be attractive.","1.68m (5' 6"")",Blonde,More than one
HornyButNoSlut,25,London,https://juicy-adult.com/#/public/H1yeBcvZkl-,Just a girl who happens to enjoy sex! If you do too and are not judgemental about it...then let's have some fun together.,"1.66m (5' 5"")",Blonde,None
usethisslut,25,London,https://juicy-adult.com/#/public/BJveuprZkgb,Cannot get enough sex. Just want as many guys as possible. Gangbang is my fantasy. Wanna use me?,"1.64m (5' 5"")",Black,Tattoo
SweetIvy,25,London,https://juicy-adult.com/#/public/HyrppBbyxW,"A naughty friend told me to sign up and have some fun now that I am single, be gentle, I am new to this :)","1.63m (5' 4"")",Auburn/Red,Earrings
DomiQueen,25,London,https://juicy-adult.com/#/public/H1Tl0zMZ1eZ,"I am into sex that is out of the norm, lets have fun","1.65m (5' 5"")",Dark brown,Earrings
Macy22,25,London,https://juicy-adult.com/#/public/SJolpXWkeW,Pleasing is what I specialize in hehe,"1.73m (5' 8"")",Blonde,Earrings
ChemistrySearch,25,London,https://juicy-adult.com/#/public/rkPgFiUWygW,Chemistry student hoping to find some chemistry on here hehe.,"1.67m (5' 6"")",Black,None
KinkyKara,25,London,https://juicy-adult.com/#/public/BkvxHWBZye-,"I want to be tied up and teased until I can't take anymore! Anyone on here looking for bondage fun, I am your girl!","1.72m (5' 8"")",Dark brown,Piercing
lovelygirl69,26,London,https://juicy-adult.com/#/public/HJl-zLQZkl-,"Soy nueva en la ciudad y no conozco a mucha gente, Soy bastante sociable, me gusta conocer a la gente,salir a tomar algo y disfrutar","1.74m (5' 9"")",Black,Piercing
KnowsHow2Please,26,London,https://juicy-adult.com/#/public/HkjetPI-1lZ,My work is entertaining men so I know how to please but I want to find confident men that know how to treat me as well,"1.68m (5' 6"")",Dark brown,More than one
BootyShaker,26,London,https://juicy-adult.com/#/public/Hkd-nvWklZ,"I want some fun, any guys interested, message me please.","1.64m (5' 5"")",Black,Tattoo
Curvedgoddess,26,London,https://juicy-adult.com/#/public/SkIHrd-kg-,Try me and you will be addicted to what I can make you feel in bed,"1.65m (5' 5"")",Dark brown,More than one
SexyFran25,26,London,https://juicy-adult.com/#/public/H1FgCxdbJlb,I am a law student in London but originally from Manchester. Looking for hot guys for some fun and frolics to mind my mind off my studies sometimes.,"1.72m (5' 8"")",Blonde,Earrings
Kashi,26,London,https://juicy-adult.com/#/public/ByuWrGX-keZ,I am very demanding during sex love calling the shots in the bedroom...can you take the pace?,"1.67m (5' 6"")",Black,More than one
SpanishBeautyUK,26,London,https://juicy-adult.com/#/public/By8eUkI-kgW,"Originally Spanish, moved to UK when I was a child with my parents... Looking to meet a hot sexy man for fun! Ever tried a Latina temptress? you won't be disappointed jeje","1.72m (5' 8"")",Black,None
BlondeModel24,26,London,https://juicy-adult.com/#/public/Hy9lXMO-kxW,"Sometimes model, sometimes extra, always horny!!","1.74m (5' 9"")",Blonde,Piercing
SushiSusie,26,London,https://juicy-adult.com/#/public/B1kl0IwZJeZ,Living and working in London with my family and looking for nice guys for some fun. I cannot host at home but happy to travel around the city to meet up. Message me if you like the look of me. Thanks. Susie.,"1.65m (5' 5"")",Black,None
S3Xhunter,26,London,https://juicy-adult.com/#/public/rJlWsWDbkeb,Here for casual sex with hot guys only! No relationship wanted.,"1.70m (5' 7"")",Dark blonde,Piercing
TeacherWanted,26,London,https://juicy-adult.com/#/public/SJhZ3U_Zyx-,I am studying in London but originally from Leeds. This is my first time away from home and I am loving it and want to spread my wings a little. I am pretty inexperienced sexually so would like to meet a guy (s) who can teach me the techniques. Any takers?,"1.66m (5' 5"")",Light brown,None
Tulip,26,London,https://juicy-adult.com/#/public/HyoejgSb1eZ,"Hi, here to see what comes out of this...hopefully something new and exciting for both of us :)","1.70m (5' 7"")",Dark blonde,More than one
WhyNott,26,London,https://juicy-adult.com/#/public/ByMxvVg-Jlb,"If you like my profile, then you are welcome to say hello :)","1.65m (5' 5"")",Blonde,More than one
Reala,26,London,https://juicy-adult.com/#/public/B1iqkS-1gZ,"Ermm if you want to know anything then ask me and I might tell you. Ask me anything but don't be rude ;) Open for all kinds of fun, oral, anal, doggy, group....let's chat","1.68m (5' 6"")",Light brown,Earrings
HotLips25,26,London,https://juicy-adult.com/#/public/SkilloU-klW,If you like kissing and lots of oral fun then maybe I am your girl. Love facials and sucking to completion...does anyone know of local bukkake parties?,"1.66m (5' 5"")",Black,None
Jojojoan,26,London,https://juicy-adult.com/#/public/S1JZTiSZJe-,"Not only do I enjoy dirty talk, but I also do the nasty things I talk about, if you are up for some real fun, message me","1.62m (5' 4"")",Other,Earrings
Ladyluck777,26,London,https://juicy-adult.com/#/public/ByogdIQ-keW,I work hard and like to play hard too. Looking for no strings attached meets with guys who like to cum & go! Married guys more than welcome.,"1.78m (5' 10"")",Dark blonde,None
NSAxNancy,26,London,https://juicy-adult.com/#/public/r1FFpvZyxW,"Here to take as many rides as possible boys, big short skinny fat, I don't care as long as you can last a while...","1.65m (5' 5"")",Dark brown,More than one
leeyo,26,London,https://juicy-adult.com/#/public/rkMWqe_-ke-,"I'm looking for a man that knows how to make a woman happy, I am also really reaaaally comfortable with my body so I'm almost always walking around the house naked, I hope you don't mind this, drop me a line!","1.64m (5' 5"")",Dark blonde,Earrings
Bigbossom,26,London,https://juicy-adult.com/#/public/r1KlG8ubJeW,"With my big bossom, I can make you feel things you have never felt before, message me if you like a full plate of meat ;)","1.61m (5' 3"")",Dark blonde,Earrings
Angela25,26,London,https://juicy-adult.com/#/public/ByvLCIbJgb,Recently moved to London to study and needing some sexual attention. Hope there are some guys out there interested in having fun with me. I will wait for your messages.,"1.66m (5' 5"")",Black,Earrings
Alexus,26,London,https://juicy-adult.com/#/public/HkBDplbJlW,Gorgeous model looking to have sexual relations with a guy who will be very discreet after getting to know each other,"1.75m (5' 9"")",Black,Earrings
checkeredkink,26,London,https://juicy-adult.com/#/public/S1Vgd3UWJgZ,I am not here looking for a happily ever after but rather a nice time in bed,"1.62m (5' 4"")",Dark brown,Earrings
DangerousLady,26,London,https://juicy-adult.com/#/public/BkIgxqL-Jl-,"Recently left home to move in with a friend, beware guys, I am on the prowl and you could be in DANGER :)","1.68m (5' 6"")",Blonde,Earrings
Lexxi,26,London,https://juicy-adult.com/#/public/HJXeJiQWJgZ,"Single, searching and open for dates including FWB's and sex fun.","1.65m (5' 5"")",Black,Earrings
solvethis,26,London,https://juicy-adult.com/#/public/Hknxlrw-1xb,I am attracted to older men and would like to meet some of them here to have fun and maybe more with,"1.61m (5' 3"")",Black,Earrings
Wumus,26,London,https://juicy-adult.com/#/public/r1IYOg-yxW,Sexy and playful kitten looking for a nice man to make me purr.,"1.66m (5' 5"")",Black,More than one
peakalace,26,London,https://juicy-adult.com/#/public/ryox6EPWJxb,"I am very very turned on by dirty talk and being spanked, if you like a naughty girl in the bedroom then message me","1.66m (5' 5"")",Blonde,None
cherrybust,26,London,https://juicy-adult.com/#/public/H1hwVLWkgZ,I am a horny woman looking to find a man who can make me feel more beautiful by fucking me whenever I need it now that I am single,"1.65m (5' 5"")",Black,Earrings
slapmybigbooty,26,London,https://juicy-adult.com/#/public/SJWxBOB-yxW,If you are into slapping or spanking a naughty girls bottom...I have been VERY bad!,"1.64m (5' 5"")",Black,Earrings
FunLovingGirl25,26,London,https://juicy-adult.com/#/public/BJ6c3IWyxb,"Not sure what to say about myself really...My name is Sonia and I am here looking for friends and fun in London. It is my first time away from home but here for at least 12 months with my job. If you like my profile and would like to know me better, please say hello.","1.70m (5' 7"")",Blonde,Tattoo
anyplayers,26,London,https://juicy-adult.com/#/public/SkSeRbuWyxZ,"Just moved into my own place away from my parents, sharing with a best friend and loving it! Now I need to find some sex fun lol.","1.64m (5' 5"")",Black,Tattoo
Junipper,26,London,https://juicy-adult.com/#/public/BJCg_tf-Jl-,I love sex...sex....sex....and i cant get enough...,"1.68m (5' 6"")",Dark brown,Earrings
naughtyout,26,London,https://juicy-adult.com/#/public/Bytxmw_ZJlb,Just a normal shy young woman looking to see if her naughty side will come out now that she has joined this interesting site,"1.63m (5' 4"")",Dark brown,More than one
Cynthia,26,London,https://juicy-adult.com/#/public/rJW8yd-yx-,"My name is Cynthia, I am lonely and need a release. Sex is an important part of life and being single I don't have it at the moment, hoping to get some here soon",Not Given,Black,Earrings
Sheilia,26,London,https://juicy-adult.com/#/public/S1el89VZylb,Come on lets fuck!!,"1.73m (5' 8"")",Light brown,Earrings
HiIdaya,26,London,https://juicy-adult.com/#/public/S1KYpzZyg-,Loves to experience new things and am not necessarily talking about sex!,"1.67m (5' 6"")",Black,Earrings
tastemyjuices,26,London,https://juicy-adult.com/#/public/BJjEgIWJeW,"Love oral fun both ways, but really gets me going when I feel my juices flowing after a good deep tonguing session. Up for it?","1.65m (5' 5"")",Black,Earrings
Riddle,26,London,https://juicy-adult.com/#/public/HkRx02Xbkx-,What could possibly go wrong with Adult dating? ;) Hot German lady here looking for something new ;)  pm xx,"1.60m (5' 3"")",Black,Not Given
Zhuli,26,London,https://juicy-adult.com/#/public/Hyr15E-yxb,"Would love to meet either a couple or hot single guys for an evening of pleasure or to make it more clearer group sex, orgy., sounds fun to me....if I sound like the perfect night in....don't hesitant to give me a shot :P","1.68m (5' 6"")",Black,More than one
threatposer,26,London,https://juicy-adult.com/#/public/SkigmFHb1gZ,How about we get to know each other for a minute then go out and have some fun?,"1.64m (5' 5"")",Dark brown,More than one
Collin24,26,London,https://juicy-adult.com/#/public/rkogoCW-kxb,"I love my body and love to have it pleasured. I am into all kinds of sex. I only want sex, no other attachment.","1.68m (5' 6"")",Blonde,More than one
Transformer,26,London,https://juicy-adult.com/#/public/SJfDMuWJgW,Sexy girl seeking older gentleman for some fun and mutual benefit casual encounters.,"1.64m (5' 5"")",Dark blonde,Earrings
Saah,26,London,https://juicy-adult.com/#/public/Bke-FyWbke-,"I think I'm sensual, smart and very energetic, looking for new experiences here - recently moved to London, looking for friends also.","1.66m (5' 5"")",Dark brown,A secret one
assured,26,London,https://juicy-adult.com/#/public/Hy7gce_-Je-,"With me, you are assured to have a fun time ;) Message me and lets get together and see what fun we can make.","1.62m (5' 4"")",Dark blonde,Earrings
Carol23,26,London,https://juicy-adult.com/#/public/Sy7xHQuZyeW,Free spirit with a lot of life to give and a lot of love to live,"1.73m (5' 8"")",Black,More than one
mystic,27,London,https://juicy-adult.com/#/public/rkExLzOWklW,"London girl who is mysterious and into the kinky, say hi and lets sail to the wild","1.65m (5' 5"")",Blonde,Piercing
GirlonGirl22,27,London,https://juicy-adult.com/#/public/Skg2blW1gb,Hey guys! I need someone to take care of me! I am a really bad girl!! VERY BAD GIRL ;),"1.70m (5' 7"")",Blonde,None
HornyPolly,27,London,https://juicy-adult.com/#/public/r1Xxyiv-kxb,Always seem to be horny these days and at the moment I am single...so this does not work well :) Maybe there are some guys looking for the same thing. let's see.,"1.72m (5' 8"")",Light brown,None
SlaveGirl26,27,London,https://juicy-adult.com/#/public/rJW95vbJg-,I love sex and I love to be dominated by a guy. I will do whatever he demands me too with very few limits. Want me to serve you Sir?,"1.70m (5' 7"")",Dark brown,More than one
Marianal,27,London,https://juicy-adult.com/#/public/r1OZ9gN-1xZ,I got married too young....,"1.63m (5' 4"")",Black,Earrings
AsianSexBabe,27,London,https://juicy-adult.com/#/public/BkyxXLu-kgb,"I was born in London to Vietnamese parents and work in our family restaurant. I need some distraction!! I am far from experienced sexually but would like to find regular ""friends"" to experience new things together.","1.64m (5' 5"")",Black,More than one
takemyblackass,27,London,https://juicy-adult.com/#/public/HkxydSbyl-,"You know you want to! Open to everyone, young or older but LOVE big cocks.","1.64m (5' 5"")",Black,Earrings
theway,27,London,https://juicy-adult.com/#/public/BJilfDWyxW,Go easy on me as I am pretty new to this and I can be quite shy at first :-),"1.66m (5' 5"")",Black,Earrings
heylie,27,London,https://juicy-adult.com/#/public/HJ1xsTf-kgW,"I am a very easy going person who loves entertainment a little spark in the bedroom, enjoying my life and going out with lasses","1.68m (5' 6"")",Dark blonde,Earrings
Sazzaxx,27,London,https://juicy-adult.com/#/public/rkHeyyuZ1eZ,"I don't like being tied down to one man, the more cock I can have the better it is for all of us..","1.65m (5' 5"")",Dark blonde,More than one
whatwant1,27,London,https://juicy-adult.com/#/public/HkDn2wWJeb,"Since my break up....I have had lots of sex withdrawals and to be honest I cannot deal with it, so I am here","1.65m (5' 5"")",Blonde,Earrings
Blondeblue,27,London,https://juicy-adult.com/#/public/ryDeOu8byeZ,"Hey are you a naughty man, well, I have many naughty fantasies that will get your blood boiling","1.65m (5' 5"")",Blonde,Earrings
definetelymaybe,27,London,https://juicy-adult.com/#/public/H1qs8LZylb,I am quite horny and have a very naughty mind I would like to explore with a like minded naughty sexy man,"1.67m (5' 6"")",Light brown,Earrings
Good2Bbad,27,London,https://juicy-adult.com/#/public/H1jeiJvb1gb,"Finally I have moved out from my family and sharing with a friend, I love the freedom. Time to be a little naughty now :)))","1.66m (5' 5"")",Black,More than one
LonyinUk,27,London,https://juicy-adult.com/#/public/ByxUhS-ygZ,"Jeg søker elskere, mann eller dame, kjeder meg trenger å sprite opp min hverdag, er dere her da, eller må jeg ut på byen å lete som jeg er lei for den type gleder da, liker også en god trekant om det frister, gi en lyd så tar vi derfra;D","1.69m (5' 7"")",Dark brown,None
breakinn,27,London,https://juicy-adult.com/#/public/HJ7WhNPWJlW,"I don't mind being single but the amount of horniness that comes with it is not funny, so I am here to find a man who can tame my beast","1.67m (5' 6"")",Dark brown,Earrings
Rukia,27,London,https://juicy-adult.com/#/public/ByfegsVb1gZ,"Yes, looks can be deceiving, but I am definitely the exception","1.71m (5' 7"")",Black,More than one
SexyMixedMinx,27,London,https://juicy-adult.com/#/public/SkAylL-1gW,On here looking for no strings fun with hot and sexy men. Age or colour not important to me just be respectful and know how to please a sex starved young lady :),"1.66m (5' 5"")",Black,Tattoo
SueandJenXX,27,London,https://juicy-adult.com/#/public/S1Ne9SW1gZ,"Two girlfriends looking for a guy to share. Done it once before and had a really good and hot session. Any guys interested? Sue, loves anal. Jen, black mixed, loves oral and swallows.","1.67m (5' 6"")",Dark blonde,Piercing
outtoplayy,27,London,https://juicy-adult.com/#/public/ryTlVOu-keb,"Totally excited to see what I get out of this, a friend helped me sign up and I am here to have fun","1.63m (5' 4"")",Black,Earrings
Balind,27,London,https://juicy-adult.com/#/public/H17-aOWWJx-,"Hey there! I'm hard working and keeping busy person. I would like to meet funny person to chat, when time is right.","1.73m (5' 8"")",Light brown,Earrings
fedrah,27,London,https://juicy-adult.com/#/public/B1sXLuZylW,Here to mingle as I nurse my heart from a recent heartbreak. I don't want to go through that again anytime soon so just looking for fun.,"1.66m (5' 5"")",Light brown,More than one
FunSeeker26,27,London,https://juicy-adult.com/#/public/BJTlvUD-JgW,"Not looking to settle down just yet, I am having too much fun going out with friends etc. I would like to find some fun in the bedroom too though :) If you like my profile. say hello to me, I will reply to all messages.","1.70m (5' 7"")",Black,More than one
Poppy,27,London,https://juicy-adult.com/#/public/ByWePuV-1eZ,I want a sexual adventure.,"1.72m (5' 8"")",Dark brown,Earrings
touchsubject,27,London,https://juicy-adult.com/#/public/HJzbZm8bylb,"I need a man to drive me nuts, a man who can handle my libido and make me call out his name, are you up for it? Message me","1.61m (5' 3"")",Dark blonde,More than one
laFrenchChick,27,London,https://juicy-adult.com/#/public/Syjh0-Zkx-,Hello I am new in London I just moved in January for work. I still don't know many people here and I don't have much time to socialize. I am a rather naughty girl and I am looking for a regular partner to have fun with. Bisous!,"1.63m (5' 4"")",Black,None
Maybexx,27,London,https://juicy-adult.com/#/public/HkwgnVPZyg-,I like to have multiple partners. Male or female. Not hook ups.,"1.60m (5' 3"")",Light brown,More than one
veryclear,27,London,https://juicy-adult.com/#/public/BJM8rPZJlZ,"I am here to have all the sex the law can allow haha, how about you message me and we get to it?","1.69m (5' 7"")",Black,Earrings
